species,phylum,fruitBody
Podila verticillata, mucoromycota,x
Coniophora puteana, basidiomycota,o
Colletotrichum higginsianum, ascomycota,x
Trichosporon asahii, basidiomycota,x
Anthracocystis flocculosa, basidiomycota,x
Sphaerulina musiva, ascomycota,x
Serpula lacrymans, basidiomycota,o
Cladophialophora carrionii, ascomycota,x
Schizosaccharomyces cryophilus, ascomycota,x
Metarhizium acridum, ascomycota,x
Rhizopus delemar, mucoromycota,x
Exserohilum turcicum, ascomycota,x
Eutypa lata, ascomycota,x
Heterobasidion irregulare, basidiomycota,o
Sclerotinia sclerotiorum, ascomycota,o
Cordyceps militaris,ascomycota,o
